CellID	Cell type
X1000100301.A1	ductal
X1000100301.A10	ductal
X1000100301.A12	delta
X1000100301.A2	ductal
X1000100301.A3	ductal
X1000100301.A4	acinar
X1000100301.A5	ductal
X1000100301.A6	ductal
X1000100301.A7	acinar
X1000100301.A8	ductal
X1000100301.B1	acinar
X1000100301.B11	ductal
X1000100301.B12	acinar
X1000100301.B3	ductal
X1000100301.B5	ductal
X1000100301.B6	ductal
X1000100301.B9	acinar
X1000100301.C1	acinar
X1000100301.C10	acinar
X1000100301.C11	ductal
X1000100301.C3	ductal
X1000100301.C5	ductal
X1000100301.C7	ductal
X1000100301.C9	ductal
X1000100301.D10	acinar
X1000100301.D12	ductal
X1000100301.D2	acinar
X1000100301.D3	ductal
X1000100301.D4	ductal
X1000100301.D5	ductal
X1000100301.D6	ductal
X1000100301.D8	ductal
X1000100301.E1	acinar
X1000100301.E2	ductal
X1000100301.E3	acinar
X1000100301.E6	ductal
X1000100301.E9	acinar
X1000100301.F1	epsilon
X1000100301.F10	ductal
X1000100301.F11	acinar
X1000100301.F12	acinar
X1000100301.F2	ductal
X1000100301.F3	acinar
X1000100301.F4	acinar
X1000100301.F5	ductal
X1000100301.F6	ductal
X1000100301.F7	ductal
X1000100301.F8	ductal
X1000100301.G1	ductal
X1000100301.G11	acinar
X1000100301.G2	ductal
X1000100301.G4	acinar
X1000100301.G5	acinar
X1000100301.G6	ductal
X1000100301.G8	epsilon
X1000100301.G9	acinar
X1000100301.H1	acinar
X1000100301.H12	acinar
X1000100301.H3	acinar
X1000100301.H4	acinar
X1000100301.H5	acinar
X1000100301.H7	ductal
X1000100301.H8	acinar
X1000100301.H9	ductal
X1000100302.A1	epsilon
X1000100302.A10	epsilon
X1000100302.A11	ductal
X1000100302.A2	ductal
X1000100302.A3	ductal
X1000100302.A5	acinar
X1000100302.A6	acinar
X1000100302.A7	ductal
X1000100302.A9	acinar
X1000100302.B10	ductal
X1000100302.B11	epsilon
X1000100302.B2	ductal
X1000100302.B3	acinar
X1000100302.B4	epsilon
X1000100302.B6	ductal
X1000100302.B7	epsilon
X1000100302.B9	acinar
X1000100302.C1	epsilon
X1000100302.C10	epsilon
X1000100302.C11	epsilon
X1000100302.C2	epsilon
X1000100302.C3	acinar
X1000100302.C5	epsilon
X1000100302.C8	acinar
X1000100302.C9	epsilon
